date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2021-02-20,0,55,56,0,35,0,0,49,39
2021-02-21,0,0,70,0,100,25,0,65,0
2021-02-22,50,0,52,0,50,46,0,20,0
2021-02-23,100,45,52,0,7,35,0,0,0
2021-02-24,0,44,73,0,42,68,0,20,0
2021-02-25,51,0,57,86,66,71,0,0,65
2021-02-26,0,100,55,0,24,39,0,0,0
2021-02-27,0,0,58,0,8,13,100,0,0
2021-02-28,0,0,100,88,45,72,0,42,33
2021-03-01,0,0,60,90,41,53,86,55,46
2021-03-02,47,77,35,0,24,38,0,0,0
2021-03-03,46,0,52,91,65,8,0,37,0
2021-03-04,0,0,46,0,28,22,82,35,0
2021-03-05,0,0,91,100,58,17,95,0,51
2021-03-06,0,0,79,0,48,44,0,21,0
2021-03-07,0,0,100,0,39,33,0,100,0
2021-03-08,0,0,64,0,63,16,0,0,0
2021-03-09,49,0,46,0,32,65,0,0,25
2021-03-10,47,78,74,0,24,39,0,19,0
2021-03-11,51,0,57,0,39,25,96,82,26
2021-03-12,56,0,56,0,15,28,0,23,29
2021-03-13,0,97,56,0,38,20,0,71,30
2021-03-14,0,0,70,0,79,59,96,41,26
2021-03-15,0,0,30,0,45,100,0,17,22
2021-03-16,84,0,52,83,27,42,0,50,64
2021-03-17,0,0,79,0,100,40,0,0,0
2021-03-18,0,0,64,0,46,34,0,20,0
2021-03-19,56,0,78,0,44,19,0,23,57
2021-03-20,0,100,68,0,78,40,0,49,0
2021-03-21,0,0,93,0,55,44,100,42,27
2021-03-22,0,0,74,0,70,0,0,0,100
2021-03-23,0,0,62,0,51,24,94,20,50
2021-03-24,100,0,56,0,84,17,0,60,0
2021-03-25,52,85,65,0,33,17,0,41,0
2021-03-26,0,0,56,0,7,18,0,67,57
2021-03-27,59,0,78,0,54,0,0,24,0
2021-03-28,51,0,64,0,40,59,0,41,0
2021-03-29,0,0,54,0,56,48,0,58,0
2021-03-30,95,0,45,0,49,39,0,38,24
2021-03-31,0,0,79,0,31,48,0,39,0
2021-04-01,0,0,45,0,15,12,0,21,67
2021-04-02,0,0,100,0,78,40,0,0,0
2021-04-03,38,0,74,0,66,41,0,24,37
2021-04-04,0,0,74,100,48,54,0,47,37
2021-04-05,100,0,52,0,65,49,0,64,33
2021-04-06,0,0,27,0,47,68,0,59,31
2021-04-07,0,0,25,0,47,11,0,39,31
2021-04-08,32,0,32,0,49,71,100,62,64
2021-04-09,65,51,43,0,63,47,0,41,64
2021-04-10,0,0,47,0,22,100,0,0,0
2021-04-11,0,0,39,91,66,74,0,85,100
2021-04-12,31,0,35,0,100,78,0,19,30
2021-04-13,0,0,35,0,74,34,0,20,0
2021-04-14,0,0,27,0,68,69,0,100,0
2021-04-15,32,0,28,0,56,58,0,61,0
2021-04-16,0,0,30,0,45,50,0,44,0
2021-04-17,0,0,49,0,64,27,0,47,0
2021-04-18,0,0,45,0,52,50,0,65,68
2021-04-19,0,0,25,0,54,23,97,40,62
2021-04-20,0,0,36,0,27,34,0,39,0
2021-04-21,31,0,40,0,41,34,0,20,31
2021-04-22,32,51,28,0,56,59,0,0,64
2021-04-23,0,0,43,0,15,12,0,87,34
2021-04-24,0,0,39,97,39,39,0,45,0
2021-04-25,0,0,38,0,30,50,0,0,34
2021-04-26,32,0,31,0,42,47,0,41,32
2021-04-27,0,0,34,0,54,34,0,20,0
2021-04-28,0,100,31,0,48,0,98,0,63
2021-04-29,0,0,37,0,21,12,0,41,32
2021-04-30,0,0,49,93,22,25,0,65,34
2021-05-01,56,0,71,0,100,100,0,52,41
2021-05-02,0,0,66,0,93,26,0,48,0
2021-05-03,0,0,44,0,62,98,46,15,0
2021-05-04,0,0,58,0,31,73,0,44,0
2021-05-05,47,34,37,0,23,48,0,15,0
2021-05-06,0,0,35,0,47,74,0,30,0
2021-05-07,0,75,80,0,51,40,51,49,38
2021-05-08,53,0,68,0,95,41,0,33,0
2021-05-09,0,0,72,100,72,89,0,31,0
2021-05-10,0,0,61,0,67,12,89,100,0
2021-05-11,0,100,70,0,75,95,0,14,0
2021-05-12,0,0,46,95,23,84,46,15,69
2021-05-13,0,0,45,100,89,25,0,31,0
2021-05-14,0,0,63,0,25,40,50,32,76
2021-05-15,56,0,72,0,46,43,54,52,0
2021-05-16,0,0,70,0,65,0,0,31,0
2021-05-17,0,0,75,93,45,35,89,14,100
2021-05-18,48,35,67,97,16,24,0,15,70
2021-05-19,47,0,32,0,46,12,0,59,0
2021-05-20,49,35,53,0,47,25,0,15,0
2021-05-21,0,38,55,0,43,40,0,0,38
2021-05-22,56,0,61,0,36,43,0,70,0
2021-05-23,100,36,100,0,41,64,0,16,0
2021-05-24,94,34,42,0,53,60,45,0,34
2021-05-25,0,0,36,0,48,38,0,61,0
2021-05-26,0,33,54,94,60,24,0,72,34
2021-05-27,0,0,65,0,55,62,0,45,0
2021-05-28,0,0,97,0,8,39,0,64,0
2021-05-29,52,0,66,0,67,40,100,48,0
2021-05-30,47,0,60,0,53,36,0,58,34
2021-05-31,46,0,58,0,30,58,0,14,33
2021-06-01,0,45,50,0,90,77,0,16,64
2021-06-02,32,0,47,0,16,51,0,32,0
2021-06-03,0,0,71,0,42,52,0,17,0
2021-06-04,71,49,30,0,44,42,0,18,69
2021-06-05,0,100,47,0,55,43,0,0,36
2021-06-06,0,0,50,0,52,41,0,69,0
2021-06-07,0,0,30,0,57,39,0,49,0
2021-06-08,0,44,49,0,72,51,90,32,32
2021-06-09,0,44,34,0,72,63,0,0,31
2021-06-10,34,0,39,0,8,13,0,50,0
2021-06-11,0,0,27,0,54,42,0,90,0
2021-06-12,0,0,80,0,66,74,0,37,0
2021-06-13,0,0,49,97,48,63,0,96,0
2021-06-14,0,0,65,0,32,62,0,16,31
2021-06-15,0,45,67,0,40,26,91,49,0
2021-06-16,0,0,37,0,65,39,0,0,0
2021-06-17,34,0,71,0,100,39,0,100,98
2021-06-18,36,49,71,0,44,42,0,18,35
2021-06-19,0,50,100,0,45,100,0,18,0
2021-06-20,35,0,63,0,69,54,0,0,0
2021-06-21,0,0,35,0,40,38,0,48,0
2021-06-22,100,0,53,0,33,91,0,66,33
2021-06-23,0,0,55,0,73,51,0,0,32
2021-06-24,0,0,57,0,17,27,0,34,0
2021-06-25,36,0,52,0,27,70,100,36,35
2021-06-26,0,0,81,0,56,74,0,38,0
2021-06-27,0,45,73,100,49,52,0,0,0
2021-06-28,32,0,44,0,71,62,0,16,0
2021-06-29,0,45,58,0,41,65,0,0,32
2021-06-30,0,47,67,0,51,80,95,34,100
2021-07-01,0,100,44,0,57,86,0,0,0
2021-07-02,79,0,59,0,36,64,96,0,59
2021-07-03,0,0,84,0,29,34,0,28,63
2021-07-04,0,0,52,0,45,79,47,26,58
2021-07-05,0,0,76,0,40,42,85,70,0
2021-07-06,34,0,80,0,55,69,0,23,0
2021-07-07,0,0,80,0,55,41,41,23,51
2021-07-08,0,0,76,96,8,74,0,0,0
2021-07-09,0,55,75,0,63,16,0,0,0
2021-07-10,0,58,100,0,28,67,100,83,0
2021-07-11,36,0,93,0,41,14,0,96,0
2021-07-12,35,0,70,0,64,43,0,47,0
2021-07-13,35,0,59,93,73,86,0,47,0
2021-07-14,0,0,81,0,40,42,0,47,0
2021-07-15,0,0,65,0,49,100,43,71,0
2021-07-16,0,0,88,0,25,44,44,97,54
2021-07-17,37,0,100,0,69,15,0,100,0
2021-07-18,0,50,86,0,25,58,0,95,0
2021-07-19,0,0,51,0,47,97,0,23,0
2021-07-20,35,0,80,0,57,29,0,24,0
2021-07-21,35,0,68,0,57,29,0,24,0
2021-07-22,0,0,63,0,48,70,0,92,0
2021-07-23,38,0,60,100,44,61,0,51,0
2021-07-24,0,0,69,0,57,67,0,28,0
2021-07-25,0,0,51,0,41,44,0,24,54
2021-07-26,100,94,25,0,100,81,0,0,100
2021-07-27,0,0,64,0,56,28,0,23,0
2021-07-28,35,49,58,0,24,28,42,23,0
2021-07-29,0,0,54,0,41,58,0,24,0
2021-07-30,0,0,38,0,35,46,46,0,0
2021-07-31,0,57,91,0,9,49,0,27,60
2021-08-01,0,0,48,0,27,69,0,100,0
2021-08-02,32,0,52,0,49,63,49,0,0
2021-08-03,0,0,40,0,99,25,0,92,0
2021-08-04,33,98,41,0,75,39,0,93,0
2021-08-05,0,97,26,100,74,38,0,0,29
2021-08-06,0,0,38,0,81,14,0,67,32
2021-08-07,0,0,52,0,41,43,0,68,0
2021-08-08,0,0,57,0,64,13,0,32,0
2021-08-09,0,0,39,0,100,52,0,62,0
2021-08-10,0,100,40,0,51,66,0,63,30
2021-08-11,0,0,58,0,50,78,50,31,0
2021-08-12,100,100,38,0,26,53,0,63,0
2021-08-13,0,0,45,0,41,29,55,34,64
2021-08-14,37,0,33,0,29,59,0,35,100
2021-08-15,36,0,34,0,82,99,0,68,0
2021-08-16,33,0,47,0,75,39,0,0,0
2021-08-17,0,0,55,0,89,35,44,0,0
2021-08-18,0,0,77,0,59,48,0,0,0
2021-08-19,0,0,82,94,58,36,0,0,0
2021-08-20,0,0,71,0,45,35,0,0,27
2021-08-21,66,99,73,0,88,39,100,63,29
2021-08-22,0,0,75,0,37,13,0,92,0
2021-08-23,33,0,99,0,38,26,0,31,0
2021-08-24,0,0,57,0,0,51,0,62,0
2021-08-25,30,89,88,92,91,35,0,28,0
2021-08-26,0,0,100,0,69,36,0,57,0
2021-08-27,30,0,74,93,23,36,0,29,27
2021-08-28,0,0,91,0,74,38,0,61,29
2021-08-29,0,95,67,0,36,100,0,60,28
2021-08-30,29,0,63,0,66,23,0,55,26
2021-08-31,60,0,74,0,69,60,0,0,0
