date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2017-02-27,47,0,40,0.0,39,83,0,20,18
2017-02-28,48,0,48,0.0,20,36,0,10,18
2017-03-01,88,92,29,100.0,100,23,0,30,0
2017-03-02,91,0,39,0.0,69,35,85,47,53
2017-03-03,0,0,66,0.0,13,27,0,55,0
2017-03-04,0,0,100,0.0,85,58,0,19,0
2017-03-05,96,100,85,0.0,24,62,0,33,0
2017-03-06,0,89,56,48.0,32,77,79,29,49
2017-03-07,0,0,49,47.0,74,54,0,43,0
2017-03-08,0,92,52,0.0,67,34,82,61,0
2017-03-09,0,93,67,0.0,45,68,0,77,51
2017-03-10,0,0,51,0.0,36,37,90,100,0
2017-03-11,100,0,89,57.0,25,26,0,52,0
2017-03-12,87,0,77,0.0,77,67,0,30,0
2017-03-13,0,86,46,0.0,73,53,0,57,0
2017-03-14,0,0,57,0.0,46,35,0,47,53
2017-03-15,93,0,61,0.0,83,48,87,81,0
2017-03-16,0,99,56,0.0,60,49,88,33,0
2017-03-17,0,0,43,0.0,28,56,0,76,0
2017-03-18,0,0,66,0.0,45,46,0,21,0
2017-03-19,0,0,55,0.0,75,26,0,34,0
2017-03-20,0,0,41,0.0,34,57,0,77,51
2017-03-21,0,0,49,0.0,67,45,0,76,51
2017-03-22,0,0,43,0.0,44,56,0,60,0
2017-03-23,0,95,68,0.0,11,58,85,47,0
2017-03-24,0,0,78,0.0,13,53,0,89,60
2017-03-25,0,0,64,0.0,55,28,0,56,63
2017-03-26,91,0,60,0.0,57,59,85,47,0
2017-03-27,0,0,53,0.0,64,76,0,29,0
2017-03-28,0,0,79,0.0,22,11,80,30,50
2017-03-29,0,0,82,0.0,65,100,0,30,100
2017-03-30,0,0,54,0.0,34,59,0,63,53
2017-03-31,0,0,46,0.0,81,55,100,0,0
2017-04-01,91,0,61,0.0,71,61,52,32,0
2017-04-02,80,100,54,0.0,37,71,0,14,0
2017-04-03,0,0,55,0.0,76,62,40,24,0
2017-04-04,0,0,69,0.0,63,60,0,35,97
2017-04-05,0,0,44,0.0,11,31,0,48,0
2017-04-06,0,0,56,0.0,58,33,0,89,0
2017-04-07,0,0,59,100.0,14,49,100,45,0
2017-04-08,95,0,91,0.0,45,21,0,49,69
2017-04-09,0,0,69,0.0,26,46,47,100,0
2017-04-10,0,0,52,84.0,46,73,0,51,0
2017-04-11,0,0,63,0.0,22,80,0,75,0
2017-04-12,0,0,69,0.0,11,23,0,24,100
2017-04-13,75,0,80,0.0,23,59,0,26,0
2017-04-14,0,0,83,0.0,27,48,0,45,63
2017-04-15,0,0,100,0.0,56,30,51,16,0
2017-04-16,89,0,85,0.0,42,30,0,62,0
2017-04-17,0,0,57,0.0,80,57,49,89,62
2017-04-18,0,100,66,0.0,87,53,91,27,57
2017-04-19,80,0,66,0.0,0,9,91,28,0
2017-04-20,82,0,36,0.0,77,100,93,57,0
2017-04-21,90,0,67,0.0,42,30,0,31,0
2017-04-22,100,0,75,0.0,47,11,0,35,0
2017-04-23,86,0,61,0.0,40,19,0,45,0
2017-04-24,0,0,52,0.0,13,36,47,28,59
2017-04-25,0,0,58,0.0,67,76,0,44,0
2017-04-26,78,0,53,0.0,61,26,45,14,0
2017-04-27,80,0,54,0.0,100,9,46,14,0
2017-04-28,0,0,66,0.0,55,49,50,0,63
2017-04-29,88,0,80,0.0,41,19,0,15,0
2017-04-30,0,0,85,0.0,37,27,45,55,0
2017-05-01,0,0,30,0.0,48,68,0,31,76
2017-05-02,0,0,42,0.0,89,59,92,16,0
2017-05-03,0,0,44,0.0,48,68,0,16,0
2017-05-04,0,0,39,0.0,29,49,91,32,0
2017-05-05,0,0,51,0.0,0,34,0,56,0
2017-05-06,0,0,54,0.0,63,25,0,62,0
2017-05-07,0,0,46,0.0,22,54,0,71,0
2017-05-08,0,76,36,0.0,38,57,89,62,0
2017-05-09,0,0,50,0.0,58,48,0,78,0
2017-05-10,0,0,29,0.0,38,28,0,31,0
2017-05-11,0,74,54,83.0,47,66,0,61,74
2017-05-12,0,0,60,0.0,33,44,0,53,86
2017-05-13,0,100,93,0.0,63,38,0,41,100
2017-05-14,0,0,69,0.0,54,32,0,35,0
2017-05-15,0,0,40,0.0,20,50,0,48,0
2017-05-16,100,0,43,0.0,100,100,0,0,0
2017-05-17,0,0,55,0.0,60,30,0,0,0
2017-05-18,0,0,46,0.0,31,62,0,84,81
2017-05-19,0,0,58,0.0,23,12,0,19,0
2017-05-20,0,0,59,0.0,65,26,0,85,0
2017-05-21,0,0,72,0.0,23,23,0,95,0
2017-05-22,0,0,28,0.0,64,74,0,35,0
2017-05-23,0,79,24,88.0,30,50,93,65,79
2017-05-24,0,0,57,0.0,31,41,97,67,0
2017-05-25,0,0,53,0.0,32,64,100,17,0
2017-05-26,59,0,68,0.0,36,71,0,19,0
2017-05-27,0,0,100,0.0,64,13,0,62,0
2017-05-28,0,90,73,100.0,57,68,0,74,0
2017-05-29,0,0,49,0.0,31,31,0,67,0
2017-05-30,0,81,53,0.0,51,92,0,50,0
2017-05-31,0,0,46,0.0,61,31,0,100,0
2017-06-01,0,86,78,0.0,20,42,0,30,0
2017-06-02,0,0,61,0.0,0,35,0,17,100
2017-06-03,0,0,86,0.0,49,64,0,74,0
